"Historical price chart data"
"Date: 01/02/2016 - 09/12/2016"
"RENAULT"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"FR0000131906","Euronext Paris","11/07/2016","69.55","71.38","69.25","71.17","942006","9770","66613608.90","EUR"
"FR0000131906","Euronext Paris","12/07/2016","71.90","74.68","71.64","74.09","1250834","12651","92388368.23","EUR"
"FR0000131906","Euronext Paris","13/07/2016","73.99","74.73","73.00","73.54","863342","9045","63682497.05","EUR"
"FR0000131906","Euronext Paris","14/07/2016","74.50","75.47","74.29","74.92","815936","8371","61201426.93","EUR"
"FR0000131906","Euronext Paris","15/07/2016","74.47","75.17","73.68","74.39","662268","6382","49289286.52","EUR"
"FR0000131906","Euronext Paris","18/07/2016","74.50","75.95","74.10","75.03","758969","7634","56954633.50","EUR"
"FR0000131906","Euronext Paris","19/07/2016","74.90","75.37","73.12","74.22","832051","8789","61613383.09","EUR"
"FR0000131906","Euronext Paris","20/07/2016","74.87","76.62","74.19","76.34","832668","7298","63203209.68","EUR"
"FR0000131906","Euronext Paris","21/07/2016","76.61","77.86","75.81","76.91","1063600","11401","81700782.30","EUR"
"FR0000131906","Euronext Paris","22/07/2016","76.56","76.97","74.78","75.49","843004","9318","63703666.31","EUR"
"FR0000131906","Euronext Paris","25/07/2016","75.69","77.50","75.14","76.42","799935","10233","61222304.87","EUR"
"FR0000131906","Euronext Paris","26/07/2016","76.22","77.49","75.69","76.99","872957","8385","67091131.53","EUR"
"FR0000131906","Euronext Paris","27/07/2016","78.01","79.98","78.00","79.58","1560712","15611","123886168.63","EUR"
"FR0000131906","Euronext Paris","28/07/2016","78.90","78.90","75.82","76.13","1935936","20796","149093664.76","EUR"
"FR0000131906","Euronext Paris","29/07/2016","77.07","78.42","77.02","78.25","1104928","10139","86194903.22","EUR"
"FR0000131906","Euronext Paris","01/08/2016","78.95","79.29","76.58","77.39","809241","8721","62788545.26","EUR"
"FR0000131906","Euronext Paris","02/08/2016","76.85","77.34","74.33","74.76","1153446","11155","86672757.77","EUR"
"FR0000131906","Euronext Paris","03/08/2016","74.79","74.99","72.60","73.90","1291574","13178","95022000.96","EUR"
"FR0000131906","Euronext Paris","04/08/2016","74.50","75.47","73.74","74.20","772289","7951","57545125.94","EUR"
"FR0000131906","Euronext Paris","05/08/2016","74.61","77.11","74.41","77.11","939030","8862","71565143.44","EUR"
"FR0000131906","Euronext Paris","08/08/2016","77.65","77.93","76.06","76.54","737789","7794","56806323.97","EUR"
"FR0000131906","Euronext Paris","09/08/2016","76.49","77.27","75.67","77.14","736965","8238","56550502.33","EUR"
