Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
00:00:00 20-Apr-2012,53610.17,52222.53,53534.84,,1667.46,1624.30,1665.12
00:00:00 10-Apr-2012,54014.73,52492.41,52789.66,,1680.05,1632.70,1641.94
00:00:00 31-Mar-2012,54129.06,51862.43,52830.74,,1683.60,1613.10,1643.22
00:00:00 21-Mar-2012,54526.34,52365.08,53644.53,,1695.96,1628.74,1668.53
00:00:00 11-Mar-2012,55203.45,52567.34,53052.48,,1717.02,1635.03,1650.12
00:00:00 01-Mar-2012,55464.14,53560.26,55178.24,,1725.13,1665.91,1716.24
00:00:00 20-Feb-2012,57565.09,54366.80,54732.20,,1790.47,1691.00,1702.36
00:00:00 10-Feb-2012,55854.88,54878.13,55733.18,,1737.28,1706.90,1733.50
00:00:00 31-Jan-2012,56678.52,55013.63,55649.78,,1762.90,1711.12,1730.90
00:00:00 21-Jan-2012,55983.92,53063.47,55634.83,,1741.29,1650.46,1730.44
00:00:00 11-Jan-2012,53675.68,52328.26,53596.30,,1669.50,1627.59,1667.03
